name,state,party,constituency,attendance,debates,questions
Yogender Chandolia,Delhi,Bharatiya Janata Party,North West Delhi,0.957264957,21.0,196.0
Muhammed Hamdullah Sayeed,Lakshadweep,Indian National Congress,Lakshadweep,0.931623932,14.0,78.0
Ve Vaithilingam,Puducherry,Indian National Congress,Puducherry,0.846153846,11.0,51.0
Kali Charan Singh,Jharkhand,Bharatiya Janata Party,Chatra,0.923076923,0.0,68.0
Chavan Vasantrao Balwantrao,Maharashtra,Indian National Congress,Nanded,0.681818182,0.0,17.0
Ajay Kumar Mandal,Bihar,Janata Dal (United),Bhagalpur,0.35042735,0.0,77.0
Mahendra Singh Solanky,Madhya Pradesh,Bharatiya Janata Party,Dewas,0.982905983,0.0,72.0
Shivmangal Singh Tomar,Madhya Pradesh,Bharatiya Janata Party,Morena,0.829059829,0.0,28.0
Aashtikar Patil Nagesh Bapurao,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Hingoli,0.632478632,0.0,67.0
Narayan Tatu Rane,Maharashtra,Bharatiya Janata Party,Ratnagiri-Sindhudurg,0.564102564,0.0,76.0
Kunduru Raghuveer,Telangana,Indian National Congress,Nalgonda,0.64957265,0.0,39.0
Rakesh Rathor,Uttar Pradesh,Indian National Congress,Sitapur,0.666666667,0.0,44.0
Adhikari Soumendu,West Bengal,Bharatiya Janata Party,Kanthi,0.957264957,0.0,16.0
Adhikari Deepak Dev,West Bengal,All India Trinamool Congress,Ghatal,0.094017094,0.0,77.0
Shatrughan Prasad Sinha,West Bengal,All India Trinamool Congress,Asansol,0.623931624,0.0,6.0
Radha Mohan Singh,Bihar,Bharatiya Janata Party,Purvi Champaran,0.957264957,4.0,0.0
Ravi Shankar Prasad,Bihar,Bharatiya Janata Party,Patna Sahib,0.760683761,5.0,0.0
K Rajashekar Basavaraj Hitnal,Karnataka,Indian National Congress,Koppal,0.675213675,1.0,0.0
Alfred Kanngam S Arthur,Manipur,Indian National Congress,Outer Manipur,0.658119658,3.0,0.0
Afzal Ansari,Uttar Pradesh,Samajwadi Party,Ghazipur,0.777777778,3.0,0.0
Akhilesh Yadav,Uttar Pradesh,Samajwadi Party,Kannauj,0.47008547,13.0,0.0
Akshay Yadav,Uttar Pradesh,Samajwadi Party,Firozabad,0.794871795,1.0,0.0
Awadhesh Prasad,Uttar Pradesh,Samajwadi Party,Faizabad,0.914529915,12.0,0.0
Mahesh Sharma,Uttar Pradesh,Bharatiya Janata Party,Gautam Buddha Nagar,0.914529915,1.0,0.0
Abhijit Gangopadhyay,West Bengal,Bharatiya Janata Party,Tamluk,0.948717949,6.0,0.0
Asit Kumar Mal,West Bengal,All India Trinamool Congress,Bolpur,0.905982906,7.0,0.0
Prasun Banerjee,West Bengal,All India Trinamool Congress,Howrah,0.760683761,1.0,0.0
Sudip Bandyopadhyay,West Bengal,All India Trinamool Congress,Kolkata Uttar,0.41025641,5.0,0.0
Sk Nurul Islam,West Bengal,All India Trinamool Congress,Basirhat,0.045454545,0.0,0.0
Misha Bharti,Bihar,Rashtriya Janata Dal,Patliputra,0.384615385,0.0,0.0
Surendra Prasad Yadav,Bihar,Rashtriya Janata Dal,Jahanabad,0.692307692,0.0,0.0
Chh. Udayanraje Pratapsinha Maharaj Bhonsle,Maharashtra,Bharatiya Janata Party,Satara,0.384615385,0.0,0.0
Amritpal Singh,Punjab,Independent,Khadoor Sahib,0.008547009,0.0,0.0
Om Birla,Rajasthan,Bharatiya Janata Party,Kota,0.0,0.0,0.0
Swami Sachidanand Hari Sakshi,Uttar Pradesh,Bharatiya Janata Party,Unnao,0.897435897,0.0,0.0
